Bloco	Data	NBPT	Dose	Fonte	N	Ca	Mg	S	P	K	Cu	Zn	Mn	Fe
2	120	530	100	u530	16.22	5.51	1.90	2.62	3.03	12.63	4.79	10.97	80.70	68.62
3	120	530	100	u530	16.11	4.34	2.02	2.10	2.15	12.32	4.88	11.53	80.07	76.21
4	120	530	100	u530	16.80	5.43	2.03	2.36	2.61	14.49	5.38	13.53	74.01	84.83
1	120	950	50	u950	14.34	3.55	1.82	1.80	2.55	12.49	3.95	10.46	91.41	64.24
2	120	950	50	u950	16.25	4.89	2.14	2.35	2.91	13.57	4.33	11.37	97.52	64.67
3	120	950	50	u950	15.30	4.28	1.81	1.98	2.24	12.10	4.65	13.37	67.19	61.18
4	120	950	50	u950	15.82	5.18	1.83	2.26	2.35	13.80	4.85	10.43	83.43	68.94
1	120	950	100	u950	16.93	3.84	2.07	2.10	2.56	12.01	4.64	12.37	107.14	63.36
2	120	950	100	u950	17.20	NA	1.98	2.91	3.22	13.42	4.93	12.97	94.91	66.92
3	120	950	100	u950	15.88	4.41	2.03	2.07	2.19	11.70	5.36	NA	80.98	79.78
4	120	950	100	u950	16.68	4.98	1.91	1.94	2.09	12.29	4.74	13.99	77.63	69.61
1	120	1500	50	u1500	15.87	3.80	1.85	1.87	2.58	11.42	4.36	10.71	99.37	65.68
2	120	1500	50	u1500	13.98	4.79	1.72	2.60	2.65	12.44	3.97	9.28	83.88	60.85
3	120	1500	50	u1500	16.27	4.18	2.02	1.98	2.20	13.05	4.63	9.05	88.78	84.70
4	120	1500	50	u1500	15.89	5.39	2.04	2.03	2.40	13.52	4.67	10.06	92.50	65.69
1	120	1500	100	u1500	14.99	5.78	1.73	2.03	2.60	12.88	5.30	11.35	96.65	69.31
2	120	1500	100	u1500	16.34	5.14	2.17	2.69	3.19	12.37	4.41	11.87	116.59	68.46
3	120	1500	100	u1500	16.35	3.97	1.92	2.00	2.08	12.32	4.92	11.27	97.83	63.61
4	120	1500	100	u1500	16.00	4.11	1.87	2.03	2.36	12.75	4.20	10.83	83.43	NA
1	120	2000	50	u2000	15.85	4.43	2.12	2.21	2.78	12.62	4.54	9.33	121.61	70.24
2	120	2000	50	u2000	15.33	5.45	1.98	2.73	3.36	13.22	4.58	12.14	109.01	66.26
3	120	2000	50	u2000	15.31	3.67	1.90	2.04	2.16	14.19	4.66	9.23	87.10	66.62
4	120	2000	50	u2000	16.29	4.82	2.02	2.34	2.62	13.16	4.89	12.15	83.03	73.59
1	120	2000	100	u2000	16.68	4.42	2.09	2.48	2.92	12.07	4.90	11.77	109.66	68.95
2	120	2000	100	u2000	15.83	4.91	2.06	2.70	3.38	13.81	4.55	11.06	115.55	70.79
3	120	2000	100	u2000	16.60	4.67	2.09	2.13	2.16	11.87	5.38	11.78	86.08	60.25
4	120	2000	100	u2000	17.27	4.67	2.08	2.44	2.82	12.58	4.94	11.54	103.77	66.66
