cultura	nutriente	prod	teor	dose
Soja	N	1.5-1.9	0	0
Soja	N	2.0-2.4	0	0
Soja	N	3.0-3.4	0	0
Soja	N	3.5-4.0	0	0
Soja	P	1.5-1.9	0-6	50
Soja	P	1.5-1.9	7-15	40
Soja	P	1.5-1.9	16-40	30
Soja	P	1.5-1.9	40-1000	20
Soja	P	2.0-2.4	0-6	60
Soja	P	2.0-2.4	7-15	50
Soja	P	2.0-2.4	16-40	40
Soja	P	2.0-2.4	40-1000	20
Soja	P	2.5-2.9	0-6	80
Soja	P	2.5-2.9	7-15	60
Soja	P	2.5-2.9	16-40	40
Soja	P	2.5-2.9	40-1000	20
Soja	P	3.0-3.4	0-6	90
Soja	P	3.0-3.4	7-15	70
Soja	P	3.0-3.4	16-40	50
Soja	P	3.0-3.4	40-1000	30
Soja	P	3.5-4.0	0-6	NA
Soja	P	3.5-4.0	7-15	80
Soja	P	3.5-4.0	16-40	50
Soja	P	3.5-4.0	40-1000	40
Soja	K	1.5-1.9	0.0-0.7	60
Soja	K	1.5-1.9	0.8-1.5	40
Soja	K	1.5-1.9	1.6-3.0	20
Soja	K	1.5-1.9	3.0-1000	0
Soja	K	2.0-2.4	0.0-0.7	70
Soja	K	2.0-2.4	0.8-1.5	50
Soja	K	2.0-2.4	1.6-3.0	30
Soja	K	2.0-2.4	3.0-1000	20
Soja	K	2.5-2.9	0.0-0.7	70
Soja	K	2.5-2.9	0.8-1.5	50
